食物種類,可食,忌食
點心類,"蘇打餅乾、登山口糧、紅豆湯、綠豆
湯。","蛋捲、餅乾、蛋糕、派、各式中西點：
如：千層糕、核桃酥、綠豆糕、蘿蔔
絲餅、蔥油餅、豆沙餅、八寶飯、雙
胞胎、沙其瑪、肉圓、芝麻糊等。"
調味品,"鹽、味精、糖、醋、醬油、蠔油、蝦
油、蕃茄醬等。","蛋黃醬、沙拉醬、芝麻醬、花生醬、
辣椒醬、沙茶醬、豆瓣醬等。"
其 他,"蜜餞、水果糖、麥芽糖、軟糖、果凍、
果醬、黑咖啡、茶、蜂密、碳酸飲料、
無油肉湯等。","奶精、油炸粉、爆米花、洋芋片、椰
子粉、甜不辣、花生粉、牛奶糖、巧
克力等。
堅果類：瓜子、花生、腰果、核桃、
松子、杏仁等。"
